"country","indicator","affected-product","type","Unit","Date","Value"
"Armenia","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","1"
"Armenia","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","1"
"Armenia","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","2"
"Armenia","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","2"
"Armenia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","43"
"Armenia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","64"
"Armenia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","17"
"Armenia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","27"
"Aruba","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","27"
"Aruba","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","39"
"Aruba","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","19"
"Aruba","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","24"
"Australia","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","2"
"Australia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","108"
"Australia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","151"
"Australia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","63"
"Australia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","93"
"Austria","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","8"
"Austria","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","8"
"Austria","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","6"
"Austria","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","7"
"Austria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","110"
"Austria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","154"
"Austria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","88"
"Austria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","107"
"Azerbaijan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","48"
"Azerbaijan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","70"
"Azerbaijan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","20"
"Azerbaijan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","34"
"Bahamas","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","46"
"Bahamas","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","63"
"Bahamas","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","23"
"Bahamas","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","28"
"Bahrain","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","1"
"Bahrain","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","74"
"Bahrain","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","101"
"Bahrain","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","34"
"Bahrain","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","56"
"Bangladesh","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","1"
"Bangladesh","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","1"
"Bangladesh","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","1"
"Bangladesh","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","1"
"Bangladesh","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","69"
"Bangladesh","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","99"
"Bangladesh","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","34"
"Bangladesh","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","52"
"Barbados","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","35"
"Barbados","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","45"
"Barbados","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","13"
"Barbados","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","13"
"Belarus","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","1"
"Belarus","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","1"
"Belarus","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","80"
"Belarus","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","107"
"Belarus","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","45"
"Belarus","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","64"
"Belgium","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","8"
"Belgium","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","8"
"Belgium","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","6"
"Belgium","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","7"
"Belgium","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","114"
"Belgium","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","158"
"Belgium","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","94"
"Belgium","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","117"
"Belize","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","35"
"Belize","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","45"
"Belize","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","10"
"Belize","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","14"
"Benin","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","34"
"Benin","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","45"
"Benin","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","9"
"Benin","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","15"
"Bermuda","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","25"
"Bermuda","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","33"
"Bermuda","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","9"
"Bermuda","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","11"
"Bhutan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","26"
"Bhutan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","29"
"Bhutan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","7"
"Bhutan","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","11"
"Bolivia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","54"
"Bolivia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","75"
"Bolivia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","19"
"Bolivia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","35"
"Bosnia & Herzegovina","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","43"
"Bosnia & Herzegovina","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","67"
"Bosnia & Herzegovina","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","23"
"Bosnia & Herzegovina","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","37"
"Botswana","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","38"
"Botswana","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","48"
"Botswana","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","9"
"Botswana","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","13"
"Brazil","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","9"
"Brazil","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","10"
"Brazil","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","28"
"Brazil","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","29"
"Brazil","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","110"
"Brazil","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","153"
"Brazil","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","64"
"Brazil","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","94"
"British Virgin Islands","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","4"
"British Virgin Islands","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","9"
"Brunei Darussalam","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","43"
"Brunei Darussalam","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","63"
"Brunei Darussalam","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","10"
"Brunei Darussalam","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","18"
"Bulgaria","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","8"
"Bulgaria","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","8"
"Bulgaria","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","6"
"Bulgaria","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","7"
"Bulgaria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","77"
"Bulgaria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","113"
"Bulgaria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","48"
"Bulgaria","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","68"
"Burkina Faso","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","27"
"Burkina Faso","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","37"
"Burkina Faso","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","12"
"Burkina Faso","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","18"
"Burundi","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","2"
"Burundi","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","2"
"Burundi","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","23"
"Burundi","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","27"
"Burundi","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","8"
"Burundi","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","11"
"Cambodia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","61"
"Cambodia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","91"
"Cambodia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","23"
"Cambodia","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","41"
"Cameroon","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","1"
"Cameroon","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","1"
"Cameroon","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","1"
"Cameroon","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","1"
"Cameroon","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","41"
"Cameroon","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","59"
"Cameroon","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","17"
"Cameroon","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","28"
"Canada","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","2"
"Canada","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","1"
"Canada","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","3"
"Canada","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","2"
"Canada","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","114"
"Canada","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","158"
"Canada","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","72"
"Canada","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","105"
"Cape Verde","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","24"
"Cape Verde","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","28"
"Cape Verde","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","4"
"Cape Verde","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","7"
"Cayman Islands","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","33"
"Cayman Islands","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","41"
"Cayman Islands","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","9"
"Cayman Islands","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","13"
"Central African Republic","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","18"
"Central African Republic","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","23"
"Central African Republic","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","8"
"Central African Republic","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","11"
"Chad","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","21"
"Chad","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","30"
"Chad","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","6"
"Chad","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","10"
"Chile","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","1"
"Chile","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","1"
"Chile","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","1"
"Chile","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","91"
"Chile","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","126"
"Chile","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","52"
"Chile","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","77"
"China","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","13"
"China","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","28"
"China","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","3"
"China","Implementing countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2020","16"
"China","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2019","128"
"China","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Harmful","Number","2020","161"
"China","Affected Countries","Tanks, reservoirs & containers of iron, steel or aluminium","Liberalising","Number","2019","109"
